"# Q_diag=[1e-06, 1e-06, 0.0001], R_diag=[0.01, 0.00121]"
timestamp,state_size,elapsed
1760527733.810355,3,0.003231972000321548
1760527734.0158052,3,0.0032047710001279484
1760527734.21491,3,0.0028907820001222717
1760527734.4145799,3,0.003101688000242575
1760527734.61561,3,0.003240347999962978
1760527734.8131206,3,0.0032240170003206003
1760527735.0144885,3,0.003342630000133795
1760527735.2227082,3,0.0031012869999358372
1760527735.4184568,4,0.0031729309998809185
1760527735.6156743,6,0.0031585540000378387
1760527735.8170125,6,0.003301272000044264
1760527736.0187411,6,0.0031462510000892507
1760527736.2188332,7,0.0033838460003607906
1760527736.4197752,7,0.0033427499997742416
1760527736.6197495,8,0.0035311130000081903
1760527736.8208416,8,0.003278619999946386
1760527737.0226934,8,0.003292334999969171
1760527737.2220902,8,0.003411268000036216
1760527737.4247532,8,0.003245165999942401
1760527737.6228118,8,0.003348480000113341
1760527737.8266747,8,0.003522626999711065
1760527738.02743,9,0.0032559470000705915
1760527738.22618,9,0.0032316809997610108
1760527738.4289448,9,0.0032189769999604323
1760527738.6272914,9,0.0035323560000506404
1760527738.8280387,10,0.003338462000101572
1760527739.0280273,11,0.0032817549999890616
1760527739.230439,11,0.003254884999932983
1760527739.4291394,11,0.002951556000425626
1760527739.6327398,11,0.00361591299997599
1760527739.829327,11,0.002944694000234449
1760527740.031137,11,0.003452084999935323
1760527740.2326794,12,0.0033619660002841556
1760527740.4353797,13,0.003819914999894536
1760527740.6326418,13,0.003199562000190781
1760527740.8340573,13,0.0036451080000006186
1760527741.035337,13,0.00405339200005983
1760527741.2356038,13,0.003784168000038335
1760527741.4362526,13,0.004186774000118021
1760527741.6382103,13,0.0037756920000902028
1760527741.8373964,13,0.0034952860000885266
1760527742.0377038,13,0.00348520700026711
1760527742.2403326,13,0.0042704299999059
1760527742.442133,13,0.003780049999932089
1760527742.63939,14,0.0036196890000610438
1760527742.843869,15,0.004093158000159747
1760527743.0421557,16,0.00408502199979921
1760527743.2432404,17,0.004165874000136682
1760527743.4504704,17,0.0038194539997675747
1760527743.6440532,17,0.0043992509999952745
1760527743.845007,18,0.004562266999982967
1760527744.045966,18,0.004721855999832769
1760527744.2462618,18,0.0045454760002030525
1760527744.44783,18,0.003753950999907829
1760527744.6503282,18,0.004059133999817277
1760527744.847714,18,0.004230946000006952
1760527745.0495331,18,0.0043727719998969405
1760527745.3109064,18,0.003991606999989017
1760527745.4522839,18,0.004079833000105282
1760527745.651228,18,0.004330232000029355
1760527745.8508513,18,0.004223251999974309
1760527746.0611982,20,0.004182085000138613
1760527746.2530138,20,0.004624073000286444
1760527746.4533904,20,0.004371940000055474
1760527746.6541104,20,0.004384212999866577
1760527746.8545277,20,0.004585270000006858
1760527747.061399,20,0.004445648000000801
1760527747.2557104,20,0.004191121000076237
1760527747.459763,20,0.004293934000088484
1760527747.657006,20,0.004108205999727943
1760527747.8587823,20,0.004001536000032502
1760527748.05861,20,0.004003408999778912
1760527748.2599747,20,0.0041592719999243855
1760527748.460086,20,0.004105860999970901
1760527748.6602602,20,0.004030288999729237
1760527748.8616931,20,0.0039734629999657045
1760527749.0615509,21,0.0037134849999347352
1760527749.2621741,22,0.004033827000057499
1760527749.4642127,22,0.004184428999906231
1760527749.664838,22,0.003909934000148496
1760527749.8645735,22,0.003794738000124198
1760527750.0730484,22,0.003916997000033007
1760527750.267863,22,0.0032826669998939906
